CLIENTNUM,Attrition_Flag,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Dependent_count,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Customer_Age,Months_on_book,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
827111283,0,1,2,2,3,0,3,2,2,2,0,2,3,0,1,4,0,0,1,0
758551608,0,1,6,1,1,0,2,4,1,0,2,2,6,5,2,4,2,0,3,3
773146383,0,0,0,2,1,3,1,3,2,3,1,2,1,6,4,5,2,0,9,2
778493808,0,1,3,1,2,0,3,5,2,1,1,1,4,0,2,5,2,0,8,0
720572508,0,0,2,2,5,0,4,2,3,3,0,1,7,5,3,4,0,0,8,2
712661433,0,1,5,2,3,0,4,3,2,3,1,1,5,0,1,5,2,0,9,0
789172683,0,1,1,1,2,0,2,6,2,0,3,2,2,2,2,5,2,0,4,4
738406533,0,1,1,1,1,0,1,3,2,2,3,3,2,5,2,5,2,0,9,7
799723908,0,1,3,1,3,0,3,4,3,3,0,2,1,2,4,4,0,0,7,2
771490833,0,1,0,2,3,0,1,5,1,1,2,2,4,1,2,2,0,2,4,2
720756708,0,0,6,1,4,0,3,6,3,2,2,2,2,3,2,5,2,0,9,4
779471883,1,0,2,1,4,0,1,2,3,1,3,2,0,7,2,4,0,0,8,4
711525033,0,0,3,1,4,0,0,3,4,2,3,3,4,5,2,5,2,2,9,5
712813458,0,1,6,1,0,0,2,4,2,0,1,1,1,6,4,4,2,0,0,2
714374133,1,1,2,1,0,0,2,1,3,3,3,1,1,0,4,4,0,0,0,0
717891558,0,0,2,3,4,0,4,6,4,2,1,1,4,5,2,4,0,0,4,5
716632758,0,0,2,2,4,0,3,2,2,0,1,1,4,5,0,4,2,2,4,7
768563658,0,1,5,1,1,0,2,4,2,3,3,3,4,4,2,5,2,0,9,3
711427458,0,0,2,1,5,0,5,4,1,2,0,1,6,7,2,5,2,0,9,2
714091983,0,1,3,2,2,0,2,4,4,3,0,1,4,3,2,4,0,0,9,4
787584108,0,1,6,1,3,0,3,4,2,3,3,3,4,5,2,4,0,0,7,4
712030833,1,1,2,1,2,3,2,2,4,4,0,1,5,0,1,4,0,0,2,0
711481533,0,1,3,0,2,0,1,5,3,3,0,1,6,1,2,4,2,0,9,2
710082708,0,1,4,2,0,0,4,2,4,2,0,1,3,5,4,4,0,0,6,2
708155733,0,1,3,2,0,0,2,4,2,2,2,2,1,3,4,4,2,0,8,2
788979258,0,1,5,2,3,3,4,4,1,4,2,2,5,3,1,2,2,0,4,1
807986133,0,1,0,1,2,0,2,5,3,3,3,3,6,4,2,2,2,0,6,2
788730933,0,0,5,2,4,0,2,6,3,3,0,0,2,3,2,4,0,0,3,5
711314058,0,1,2,1,2,0,2,2,2,2,1,1,2,8,2,5,2,0,9,5
717975333,0,1,1,1,3,0,2,6,2,2,1,2,3,2,1,5,0,0,9,2
715971108,0,1,2,2,0,0,4,3,2,3,2,2,5,4,1,5,2,2,9,1
720096558,0,0,2,1,4,0,2,5,3,3,3,2,2,8,2,4,2,0,0,4
719580033,0,1,2,3,2,0,1,4,2,3,3,2,4,5,2,4,0,0,0,5
820582308,0,1,5,1,3,0,5,6,2,2,0,1,3,3,4,0,2,0,2,2
789973308,0,1,0,2,2,0,1,3,3,3,0,1,3,4,4,5,2,0,9,2
712876233,0,1,2,2,3,0,2,5,3,2,2,1,6,3,2,4,2,0,1,2
804595158,0,0,2,2,4,0,4,6,4,2,0,1,6,6,2,1,0,0,9,3
714826758,0,0,5,2,4,0,3,4,4,2,0,1,6,4,2,4,2,5,8,2
779058108,0,1,2,0,2,0,3,6,1,2,1,1,2,4,2,4,2,0,0,6
710790258,0,1,2,1,3,0,2,6,3,2,0,2,3,4,1,4,2,0,0,2
715623483,0,1,2,1,2,0,3,4,4,0,0,1,6,3,3,5,2,2,9,2
715156383,0,1,6,3,0,0,1,6,2,2,0,1,5,3,1,4,2,0,2,1
711013983,1,0,6,1,1,0,4,2,4,3,3,2,2,0,2,2,0,0,6,0
755420433,0,0,2,1,5,0,1,2,3,3,3,3,7,2,4,0,0,0,7,2
794543958,0,1,2,0,3,0,1,5,4,2,2,1,5,1,1,5,2,0,9,1
716396358,0,1,2,1,2,0,2,5,3,0,2,3,4,4,2,4,2,0,6,4
715398033,0,1,3,2,0,0,2,4,2,1,2,1,1,5,4,2,0,0,6,2
711743883,0,0,5,2,4,0,3,5,2,3,0,1,4,0,2,1,0,0,4,0
719720058,0,1,3,2,2,0,3,4,3,1,0,1,1,7,4,5,2,0,9,2
778992108,0,1,6,1,0,0,2,5,3,3,3,2,6,0,2,5,2,0,9,0
717539808,0,0,3,2,4,0,2,3,2,2,2,1,7,0,4,4,0,0,9,0
714070758,0,1,3,2,3,0,4,4,3,0,1,2,3,4,1,4,2,0,9,2
714107958,0,1,2,2,1,0,1,4,4,3,0,1,6,0,2,2,2,0,4,0
789140283,0,1,2,2,3,0,0,5,4,1,2,2,2,5,2,4,2,0,8,6
715550508,0,0,6,1,5,0,3,5,1,2,0,1,2,5,0,5,2,0,9,7
719712633,0,1,2,1,4,0,1,6,4,3,3,3,2,7,2,5,2,0,8,4
772629333,0,1,2,1,1,0,3,5,4,2,0,1,4,1,2,2,2,0,0,3
720336708,0,1,1,1,1,0,3,5,3,2,2,1,4,3,2,4,2,3,6,3
802013583,0,1,0,1,0,0,3,3,2,0,3,3,7,5,3,2,0,0,6,2
711887583,1,1,6,1,3,0,2,2,3,3,0,1,6,3,2,4,0,0,0,2
714778833,0,0,0,2,5,0,3,4,4,0,1,2,3,4,4,2,2,0,8,2
713843283,0,0,6,1,5,3,3,5,3,3,0,1,5,5,1,4,2,0,6,2
779155158,0,1,2,1,0,0,3,6,2,2,2,1,4,1,2,2,0,0,2,3
721091583,0,0,2,2,4,0,2,3,3,3,0,1,4,4,2,4,2,0,9,4
713572683,0,1,3,3,2,0,3,3,3,0,0,0,2,0,2,4,0,0,7,0
716657058,0,0,4,1,4,0,4,2,3,3,0,1,6,7,3,4,2,0,3,2
779509983,0,1,4,2,0,0,2,6,1,2,2,1,5,7,1,4,0,0,9,1
717929133,0,1,5,1,2,0,1,5,2,3,0,1,1,5,4,5,0,0,6,2
808284783,0,0,6,1,4,0,1,6,0,0,3,3,0,0,2,4,2,3,9,0
708476808,0,1,6,0,0,0,4,6,3,2,3,1,5,4,1,2,0,0,7,2
710916408,0,1,2,1,2,0,4,4,3,0,3,2,6,4,2,2,2,0,0,2
708492558,0,1,6,1,2,0,3,5,3,3,0,1,1,7,4,4,0,0,9,2
799825758,0,1,3,0,2,0,4,5,1,2,0,1,4,3,2,2,0,0,0,4
718619883,0,0,5,1,4,0,0,2,2,2,3,1,2,7,2,5,2,0,9,4
711844758,0,1,2,2,3,0,3,6,1,0,0,1,1,2,4,4,2,0,9,2
714798783,0,1,2,2,3,0,1,6,2,2,1,1,1,7,4,5,0,0,9,1
826762908,0,1,3,3,3,0,3,3,2,0,2,3,7,1,4,4,2,0,9,2
771894558,0,1,3,2,3,0,3,4,1,4,1,2,7,3,4,5,2,0,7,2
721074183,0,1,1,1,2,0,1,4,6,3,1,1,3,1,4,4,0,0,8,1
715259583,0,0,3,1,4,0,2,3,2,3,2,2,6,4,2,4,2,2,8,3
718414008,0,1,2,2,0,0,2,3,2,2,1,1,5,8,1,4,0,0,4,1
719666283,0,0,1,1,4,0,1,4,1,0,3,1,4,4,2,4,0,0,4,4
714877233,0,1,3,1,3,0,1,3,2,2,2,3,1,4,4,5,2,2,9,2
785387883,0,0,3,2,1,0,3,4,3,3,0,2,4,3,2,2,2,3,0,3
771075258,0,1,0,2,0,3,2,2,3,2,3,2,5,3,1,1,0,3,0,1
711318033,0,1,2,2,2,0,3,4,2,2,0,1,4,0,2,4,2,0,7,0
783554958,0,1,2,2,0,0,4,6,1,0,3,3,3,0,1,2,2,0,0,0
720201033,1,1,2,1,3,0,2,3,3,2,2,2,7,5,4,2,0,0,0,2
718039683,0,1,3,2,1,0,2,3,1,2,2,2,1,2,4,4,2,0,9,2
710806083,0,0,5,3,4,3,1,4,2,2,1,1,7,5,4,4,0,0,7,2
714752208,0,0,2,1,4,0,1,5,1,2,0,1,2,5,0,4,0,0,7,7
822063408,0,1,6,1,1,0,4,5,1,2,0,2,6,6,2,3,0,0,9,3
714490308,0,1,2,1,3,0,4,3,2,3,3,2,1,3,4,5,2,0,9,2
713356833,0,1,2,1,3,0,1,3,1,4,2,2,4,6,2,5,2,0,6,5
711402333,0,1,1,2,4,0,2,2,1,3,0,1,4,7,2,1,2,0,8,2
708296883,0,0,2,2,1,0,3,3,1,0,0,2,7,7,4,4,0,0,8,2
719154483,0,1,3,0,2,0,2,5,3,2,2,1,6,5,2,4,0,0,6,2
717721458,0,1,0,0,2,0,4,5,1,0,0,2,7,1,4,5,3,3,9,2
711112683,0,0,0,1,5,0,1,6,2,3,3,1,4,3,2,5,2,0,9,3
715674483,0,0,4,2,4,0,2,4,2,2,0,1,6,6,2,4,0,0,6,3
789322833,1,0,3,1,4,0,5,1,3,3,0,2,6,0,3,3,0,0,7,0
789968058,0,1,6,2,0,0,1,6,2,3,2,2,6,5,3,3,0,0,5,2
709919283,0,1,2,1,3,0,4,2,3,2,3,1,1,6,4,5,2,0,9,2
718744008,0,0,2,2,4,0,1,3,2,3,3,1,6,8,2,0,0,0,6,2
767712558,1,1,0,2,2,0,1,2,3,3,3,3,1,0,4,4,0,0,8,0
712950783,1,0,5,1,4,0,4,3,2,3,0,2,2,0,2,4,0,0,1,0
716104983,0,0,2,2,4,0,2,6,3,2,0,1,2,5,0,5,2,0,9,7
818839983,0,1,2,1,0,0,2,3,2,0,3,3,7,3,4,5,2,0,8,2
772288758,0,0,2,1,5,0,4,4,1,3,0,1,6,1,2,4,2,0,9,2
712350858,0,1,3,1,3,0,2,4,1,3,0,0,7,8,3,2,2,2,4,2
711009708,0,1,3,2,3,0,3,5,1,0,0,1,1,0,4,4,2,0,1,0
712720158,0,1,2,1,5,0,1,5,2,3,3,3,1,3,4,5,2,0,9,2
712215258,0,0,2,2,1,3,1,2,2,3,1,1,1,0,4,4,2,0,3,0
773827008,0,1,5,2,2,0,4,6,2,2,0,2,2,3,2,1,0,0,9,5
795232683,0,0,0,1,4,0,1,4,2,3,2,3,2,7,2,5,2,0,9,3
713786508,0,0,6,1,1,0,5,3,3,3,0,1,2,0,2,4,0,0,6,0
713539833,0,0,3,2,1,0,4,6,1,3,0,2,6,0,3,5,2,0,7,0
712454058,0,1,1,1,0,0,1,6,1,3,1,2,7,7,4,2,0,0,7,2
718759833,0,0,5,1,5,3,2,4,3,2,0,1,3,0,1,5,0,0,9,0
718803333,0,0,2,0,4,0,4,2,3,1,0,1,4,4,2,4,2,0,6,4
720253908,0,1,3,1,3,0,0,5,2,1,3,2,4,8,2,4,2,0,8,3
714133158,0,0,0,2,5,0,1,2,3,3,3,1,4,2,2,4,0,0,7,2
713187033,0,1,5,1,2,0,1,3,2,2,0,1,1,5,4,5,2,2,9,2
714791208,0,0,6,0,4,0,4,6,5,3,0,2,4,5,2,1,0,0,0,4
772426383,0,0,5,1,1,0,4,5,2,3,1,2,4,3,2,5,0,0,9,4
710975883,0,0,5,1,4,0,3,3,1,2,2,2,2,4,0,4,2,0,1,7
714264408,0,0,5,1,4,0,3,4,1,0,0,1,2,7,2,4,2,0,6,4
715827858,0,0,5,1,4,0,4,3,3,3,3,3,4,5,2,5,0,0,9,6
713741358,1,1,2,2,3,0,5,6,3,3,0,1,5,6,1,4,0,0,6,2
709531908,0,1,3,1,2,0,3,5,2,2,2,3,0,0,2,4,2,4,7,0
716493408,0,0,5,0,5,0,4,4,3,3,0,1,1,3,4,4,2,0,9,2
714141108,0,0,3,1,4,0,1,6,3,3,2,2,6,7,2,2,2,0,6,2
708953883,1,1,6,1,3,0,2,2,2,1,2,1,4,0,2,4,0,0,0,0
712608783,0,1,3,1,3,3,2,3,1,3,1,2,5,1,1,2,2,0,7,1
820353558,0,0,3,1,1,0,3,4,1,2,0,1,7,2,3,3,2,0,1,2
714964758,0,0,2,0,1,0,5,5,2,2,0,1,7,4,4,4,0,0,8,2
716264358,0,1,5,1,3,0,3,2,1,2,2,2,3,4,1,5,2,3,8,2
717296808,0,0,2,1,4,0,1,4,3,2,3,3,4,6,2,5,2,0,8,7
712977183,0,0,5,2,1,3,2,6,3,0,3,1,1,8,4,4,2,0,9,2
710829108,0,0,5,1,1,0,1,4,2,3,3,1,4,8,2,0,0,0,3,2
779562633,0,1,5,1,1,0,2,3,2,1,0,1,6,5,2,5,2,0,7,3
715315833,0,1,2,1,3,0,3,6,2,3,2,1,7,5,4,4,0,0,8,2
815500983,0,0,5,1,4,0,1,5,3,0,3,3,4,5,2,5,2,0,8,5
719360583,0,1,2,1,2,0,1,6,2,2,2,2,4,3,2,4,2,0,9,4
709701558,0,1,2,1,2,0,3,2,1,2,0,1,1,1,4,4,2,4,9,2
721148358,0,0,5,2,5,0,3,6,2,1,1,2,1,0,4,3,2,0,0,0
779862408,0,1,4,2,3,0,3,3,1,0,1,1,6,0,2,5,0,0,8,2
812627208,0,0,0,2,4,0,0,5,1,3,3,3,0,7,2,4,0,0,3,4
711033408,0,0,3,1,4,0,2,5,1,2,1,1,7,3,3,4,0,0,8,2
779956608,0,0,4,1,5,0,2,6,1,3,0,1,1,0,4,4,2,0,6,0
780376683,0,1,2,1,3,0,1,5,3,1,3,3,1,5,4,5,2,0,9,2
717912483,0,1,2,3,3,0,4,5,2,0,0,1,3,0,1,4,2,0,4,0
714454758,0,0,2,1,4,0,3,4,2,3,3,3,6,3,2,4,2,0,7,2
780466533,0,1,1,1,0,0,3,3,3,0,3,2,1,3,4,5,2,4,2,2
715735233,0,0,4,1,4,0,5,5,1,1,2,2,4,3,2,4,2,3,3,4
720476733,0,0,3,1,4,0,3,2,1,2,0,1,6,7,2,4,0,0,3,2
715872333,0,1,3,3,0,0,0,3,2,3,0,1,1,5,4,4,2,0,9,2
712375758,0,1,5,1,3,0,3,3,3,1,2,2,1,2,4,5,2,3,6,2
708868233,1,1,3,1,4,0,0,1,3,2,3,3,0,7,2,4,0,0,4,4
718030083,0,1,0,1,2,0,1,4,1,2,3,1,6,3,2,5,2,0,9,2
720707283,0,1,6,1,3,0,4,5,3,0,0,1,6,7,2,4,2,3,6,2
771698658,0,1,2,1,2,0,5,4,5,3,0,1,7,5,4,2,2,0,7,2
748326258,0,1,0,1,3,0,3,4,5,3,0,2,1,3,4,5,2,2,2,2
770817783,0,1,2,1,2,3,4,3,2,1,0,1,5,3,1,2,0,0,2,1
779353083,0,1,2,1,2,3,2,4,2,2,0,1,5,3,1,1,2,0,6,1
711441333,0,0,3,0,4,3,1,3,2,2,0,1,7,3,4,1,0,0,7,2
719808558,1,0,2,1,4,0,2,2,4,3,3,2,0,0,2,4,0,0,1,0
711551958,1,1,4,1,2,0,2,3,3,3,3,2,0,0,2,4,0,0,2,0
809164083,0,1,2,1,1,0,1,2,1,2,3,3,2,4,2,5,2,0,8,5
820596183,0,1,0,1,0,0,2,2,3,0,3,3,3,5,4,5,2,4,6,2
715999608,0,0,3,1,4,0,2,4,1,2,2,1,2,3,2,4,2,0,9,5
710565408,0,1,6,3,3,3,0,3,2,3,3,2,5,2,1,5,0,0,9,1
805543158,0,1,2,1,0,0,3,5,3,3,2,3,7,5,4,4,2,2,9,2
709752183,0,1,3,2,2,0,3,4,2,2,0,1,7,6,4,2,2,0,7,2
716479233,0,1,3,1,1,0,4,5,3,2,0,1,1,3,4,4,0,0,9,2
713837058,0,1,0,2,4,0,2,3,2,3,0,1,2,4,2,1,0,0,6,6
718876683,0,0,2,2,4,0,4,5,2,0,0,1,6,1,2,3,2,0,1,2
770746908,0,1,6,1,2,0,4,5,1,2,0,1,6,5,2,4,0,0,8,2
794843883,0,1,3,1,3,0,3,6,1,2,0,1,5,1,1,2,2,0,6,1
803043933,0,0,5,0,4,3,3,4,1,3,0,2,7,4,4,5,2,0,9,2
758076408,0,1,6,2,1,0,2,2,1,3,1,2,2,3,0,2,2,3,9,7
714606558,0,0,5,1,4,0,1,5,1,0,3,1,2,1,2,4,2,0,8,5
778425408,0,1,2,2,3,0,4,5,3,0,0,0,4,5,2,2,0,0,6,4
714171108,0,0,2,0,1,0,3,6,2,3,0,2,2,1,2,2,0,0,3,4
719662458,0,0,2,0,4,0,2,5,2,2,0,1,0,7,2,4,0,0,9,4
713137233,0,1,3,2,3,0,2,4,3,0,0,1,3,4,1,4,0,0,7,2
769425858,0,1,0,2,2,0,3,4,1,2,0,1,0,0,2,4,2,0,4,0
711297483,0,0,5,0,4,3,2,6,4,2,0,1,1,5,4,4,2,2,0,2
788900883,0,0,2,1,4,0,2,3,1,3,2,1,4,2,2,2,2,2,0,3
758348808,0,1,2,1,0,0,2,4,3,3,2,2,5,3,1,2,0,0,7,1
772336458,1,0,5,1,1,0,1,4,4,3,3,3,0,8,0,4,0,0,6,6
708711483,0,1,6,1,3,0,2,2,3,0,3,2,1,3,4,5,2,0,9,2
717906783,0,1,2,2,0,0,5,5,2,2,0,1,6,3,2,5,2,0,8,3
719437908,0,1,4,0,3,0,3,6,2,2,0,1,1,3,4,4,2,4,8,2
769433508,0,1,0,2,2,0,1,6,3,3,0,1,2,4,2,4,0,0,8,5
790096533,0,1,0,1,2,0,2,4,3,2,3,3,6,2,3,5,2,0,9,2
720997383,1,1,5,1,3,0,1,2,3,3,2,1,2,4,0,4,0,0,6,7
787541883,0,1,2,3,3,0,3,3,3,3,0,1,5,0,1,1,0,0,0,0
709930758,0,1,5,1,1,0,2,5,3,3,0,1,7,1,4,1,2,0,8,2
789830058,0,1,6,2,3,0,4,4,1,2,0,1,1,3,4,2,2,0,9,2
710299608,1,0,6,1,4,0,2,2,3,3,2,1,4,6,0,4,0,0,6,7
710741208,0,1,3,2,3,0,2,4,2,2,0,1,6,3,2,5,2,0,6,2
821797008,1,1,0,1,1,0,5,2,2,3,1,2,0,0,2,4,0,0,4,0
708874533,1,0,0,1,4,0,2,1,3,2,0,1,4,0,2,4,0,0,4,0
715341858,0,1,2,1,3,0,2,6,2,3,3,2,2,1,2,4,2,4,6,5
793636308,0,1,5,2,3,0,3,2,2,2,1,2,4,3,2,4,0,0,5,3
713779908,0,0,1,2,5,0,3,6,3,2,0,1,2,3,2,0,2,0,5,6
712125258,1,1,3,1,0,0,4,3,3,3,0,1,2,0,2,4,0,0,6,0
709703433,0,1,2,1,2,0,3,4,1,2,0,2,1,3,4,4,2,0,8,2
721022433,0,1,1,2,2,0,2,5,1,2,0,1,6,5,2,0,2,0,0,3
710103558,0,1,4,2,0,0,3,4,1,2,1,1,4,3,2,4,2,0,5,4
715952883,0,1,3,1,1,0,0,5,3,2,3,1,4,8,2,5,2,0,9,2
719731458,0,1,6,3,1,0,3,6,3,4,3,2,4,7,2,1,0,0,4,2
772390908,1,1,3,2,1,0,0,2,4,3,3,3,4,8,2,2,0,0,3,2
787348608,0,1,3,1,4,0,0,3,2,3,3,3,4,3,2,2,0,0,8,4
709485033,0,0,3,1,4,0,2,4,3,3,3,1,2,1,2,4,2,0,9,4
715432608,0,1,6,2,2,0,4,4,1,0,0,1,1,7,4,4,2,0,9,1
799471833,0,1,5,2,0,0,1,4,2,2,0,2,4,3,2,2,2,2,1,4
714187533,0,0,5,2,1,0,2,2,3,0,0,1,4,7,2,0,2,0,6,2
779656908,0,1,2,1,1,0,1,6,3,2,0,0,6,2,2,4,2,0,4,2
788950158,0,1,0,3,3,0,2,2,2,3,0,0,5,3,1,4,0,2,9,1
778867533,1,0,4,1,1,0,0,1,4,1,3,2,0,0,2,4,0,0,0,0
710620383,0,1,6,1,2,0,4,6,3,2,0,1,3,1,4,4,0,0,9,1
778661358,0,0,6,1,4,0,1,2,3,2,0,1,2,5,0,5,2,2,8,7
789483333,0,1,5,1,1,0,2,5,1,3,0,1,6,7,2,4,0,0,9,2
809855808,0,0,2,1,4,0,2,5,2,2,2,2,6,3,2,4,2,0,3,2
718464258,0,0,6,3,4,0,3,2,2,2,2,0,7,8,4,4,0,0,9,2
708528483,0,0,2,0,5,0,4,6,3,2,0,0,4,5,2,2,2,0,9,6
771809733,1,0,3,1,1,0,0,1,3,3,3,3,4,0,2,4,0,0,0,0
719942883,0,1,2,1,2,0,5,3,3,3,3,2,2,2,2,4,0,0,9,4
807226683,0,1,6,2,1,0,3,6,1,3,0,2,6,8,2,1,2,2,2,2
717806133,0,1,5,0,2,0,2,5,3,0,0,1,3,0,1,4,2,0,9,0
720615708,0,1,5,1,1,0,0,6,2,2,3,2,2,0,2,4,0,0,6,0
714511758,0,1,2,2,3,0,4,4,3,0,0,2,6,8,2,4,2,0,9,2
715050408,0,1,3,2,3,0,3,4,3,3,0,1,6,3,2,4,0,0,2,2
721132233,0,0,5,1,4,0,4,2,2,2,0,1,2,4,2,4,0,0,9,6
719211558,1,1,2,2,2,0,2,1,1,2,0,1,4,0,2,4,0,0,8,0
712069008,0,0,5,1,4,0,4,4,2,0,0,0,2,8,2,4,2,0,6,3
715996983,0,1,5,0,3,0,4,5,2,2,0,1,1,5,4,5,2,0,9,2
773466258,0,0,3,1,1,0,4,3,1,3,0,2,4,8,2,2,0,0,8,2
798983508,0,1,2,2,3,3,1,4,3,2,0,1,5,2,1,5,2,0,9,1
719117433,0,1,3,3,3,0,4,4,3,0,0,1,3,5,4,4,2,0,9,2
716451183,0,0,5,1,1,0,1,5,2,3,3,2,6,3,2,5,2,0,9,2
718621608,1,0,3,1,5,0,2,3,3,1,3,2,6,0,2,5,0,0,0,0
715085733,0,1,2,1,1,0,0,3,1,2,3,3,4,5,2,5,2,0,9,5
788977833,0,1,5,1,3,0,0,2,1,0,3,3,6,1,2,4,2,2,7,2
720272958,1,1,3,1,0,0,2,3,3,3,0,1,3,0,1,4,0,0,7,0
708421833,0,0,2,2,4,0,4,6,3,2,0,1,4,6,2,4,0,0,7,6
709173108,1,0,2,1,5,0,4,6,2,2,3,2,2,5,0,1,0,0,0,7
709879458,0,0,1,1,5,0,3,2,2,3,3,2,2,2,2,4,2,3,4,6
715120608,0,1,2,2,2,0,3,2,3,2,0,1,1,3,4,4,0,0,4,2
770632758,0,0,1,2,5,0,4,2,3,2,1,1,2,3,2,2,2,0,3,5
779078733,0,1,1,1,2,0,2,3,4,3,3,1,1,3,4,3,2,0,9,2
771742533,0,1,2,3,1,0,2,5,1,2,0,1,1,3,4,2,0,0,3,2
720250158,0,1,0,2,2,0,2,6,3,0,0,1,3,4,4,5,2,0,9,2
716458983,0,1,3,1,1,0,0,5,1,3,3,1,4,7,2,5,2,0,9,2
713747733,0,1,3,1,1,0,2,5,3,2,3,3,4,5,2,4,2,2,7,6
712270158,0,0,3,1,1,0,0,5,2,3,3,3,2,1,2,4,0,0,5,4
789562383,0,0,3,3,4,0,1,2,3,0,0,1,0,7,2,4,0,0,8,3
754897008,0,1,3,2,1,0,3,2,3,2,0,2,7,2,3,2,2,0,0,2
819700533,0,1,3,2,0,3,0,5,2,3,1,2,1,5,4,4,0,0,9,2
712890408,0,1,5,1,2,0,2,5,3,2,0,1,2,2,2,4,2,0,9,4
720248208,0,1,4,0,2,0,3,6,3,0,0,1,6,3,2,4,2,0,1,2
779749908,0,1,0,1,2,1,4,2,2,3,0,1,5,5,1,4,2,0,1,2
717401883,0,1,5,1,2,0,3,5,2,2,0,0,6,1,2,4,2,3,7,2
721509558,0,1,2,1,0,0,2,3,3,0,2,2,3,3,4,4,2,2,3,2
710572458,0,0,3,1,5,0,3,4,1,1,0,0,1,0,4,4,2,3,2,0
714576183,0,1,2,2,3,0,4,6,3,2,0,1,1,5,4,4,0,0,1,2
