Attrition_Flag,Gender,Dependent_count,Marital_Status,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,bin_Credit_Limit,bin_Total_Revolving_Bal,bin_Total_Trans_Ct,bin_Total_Ct_Chng_Q4_Q1,bin_Avg_Utilization_Ratio,Education_Level_0,Education_Level_1,Education_Level_2,Education_Level_3,Education_Level_4,Education_Level_5,Education_Level_6,Income_Category_0,Income_Category_1,Income_Category_2,Income_Category_3,Income_Category_4,Income_Category_5,Card_Category_0,Card_Category_1,Card_Category_2,Card_Category_3
0,0,2,1,6,1,2,14470.0,1157,21,0.909,0.08,1,1,0,8,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,1,1,0,5,2,0,20979.0,1800,27,0.929,0.086,1,4,0,8,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,1,2,3,3,1438.3,0,16,0.6,0.0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,3,1,4,2,1,4470.0,680,18,1.571,0.152,4,7,0,9,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,4,2,3,3,2,2492.0,1560,23,0.353,0.626,2,3,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0,1,2,1,4,2,3,12217.0,0,21,0.75,0.0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0,0,3,2,6,1,2,7768.0,1669,22,0.833,0.215,6,3,0,7,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,1,3,4,1,2,14784.0,1374,23,1.3,0.093,1,2,0,9,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,1,1,3,3,2,10215.0,1010,40,1.0,0.099,7,8,2,8,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,3,2,5,2,2,10100.0,0,18,1.571,0.0,7,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,1,4,1,6,0,0,4785.0,1362,38,0.9,0.285,4,2,2,8,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,3,1,3,2,3,2753.0,1811,25,2.571,0.658,2,4,0,9,5,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0,1,2,1,2,5,1,2451.0,1690,26,1.6,0.69,2,3,0,9,5,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,1,4,1,4,1,2,8923.0,2517,24,1.667,0.282,6,6,0,9,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,2,1,5,2,3,2650.0,1490,28,1.0,0.562,2,3,0,8,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,1,6,2,2,12555.0,1696,24,0.714,0.135,1,3,0,6,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,1,2,4,2,1,3520.0,1914,43,0.483,0.544,4,4,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,3,1,6,2,3,3035.0,2298,37,1.176,0.757,4,5,0,9,6,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,4,1,2,3,3,15433.0,0,22,1.2,0.0,1,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,1,3,3,3,2,3672.0,886,28,0.556,0.241,4,7,0,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,1,5,4,3,7882.0,605,16,0.143,0.077,6,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,1,3,2,2,2,2,32426.0,578,28,0.474,0.018,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,2,1,4,1,0,6205.0,2204,28,0.556,0.355,6,5,0,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
0,0,1,2,3,2,3,17304.0,2517,33,1.2,0.145,1,6,0,9,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,3,1,5,2,1,3906.0,0,32,1.0,0.0,4,0,0,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,4,2,2,3,3,9830.0,2055,23,0.917,0.209,7,5,0,8,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,1,4,2,3,2,3,34516.0,0,28,1.333,0.0,5,0,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,1,2,1,6,2,0,2283.0,1430,27,0.588,0.626,2,2,0,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,1,1,1,3,2,2,2548.0,2020,27,1.7,0.793,2,5,0,9,7,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,3,1,4,3,3,19458.0,1435,27,0.8,0.074,1,2,0,7,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,1,2,5,1,1,4745.0,1227,40,0.6,0.259,4,1,2,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,3,1,6,3,2,2622.0,1549,30,1.143,0.591,2,3,0,9,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1,0,1,1,2,3,1,1438.3,808,19,0.9,0.562,0,7,0,8,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,1,3,4,2,3171.0,2179,38,1.923,0.687,4,5,2,9,5,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,2,1,4,2,0,19763.0,2517,35,0.25,0.127,1,6,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1,1,2,1,1,3,3,15769.0,0,15,0.364,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,4,3,6,4,2,3298.0,2200,32,0.6,0.667,4,5,0,4,5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,3,2,2,2,0,2802.0,2363,40,0.6,0.843,4,5,2,4,7,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,2,1,4,2,3,4458.0,1880,29,1.417,0.422,4,4,0,9,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,5,1,4,1,2,6273.0,978,25,1.083,0.156,6,7,0,9,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,1,2,2,4,4,3,3336.0,1753,27,1.25,0.525,4,3,0,9,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
0,1,3,1,4,2,3,3436.0,2016,33,0.833,0.587,4,5,0,7,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1,1,2,1,2,4,4,34516.0,0,15,0.5,0.0,5,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,1,1,0,5,3,3,5926.0,1251,28,1.154,0.211,6,1,0,9,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
0,1,4,2,2,4,2,23957.0,2102,26,0.733,0.088,3,5,0,6,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
0,1,2,2,4,2,2,14734.0,1634,23,0.917,0.111,1,3,0,8,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0,1,4,2,4,1,4,34516.0,1515,32,0.6,0.044,5,3,0,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0,1,2,1,5,3,3,6584.0,1817,35,0.667,0.276,6,4,0,6,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,2,2,6,3,3,2084.0,1468,28,0.556,0.704,2,3,0,3,5,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,1,2,1,2,2,2,1687.0,1107,17,2.4,0.656,2,8,0,9,5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,1,2,1,6,2,2,25300.0,1330,15,2.0,0.053,3,2,0,9,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,4,2,3,2,3,34516.0,1763,41,1.05,0.051,5,4,2,9,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,2,1,5,3,3,2216.0,1034,36,0.286,0.467,2,8,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,1,3,4,2,3,2910.0,2030,21,0.4,0.698,4,5,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,1,5,1,6,2,2,22913.0,1528,35,0.522,0.067,3,3,0,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,1,1,2,3,3,3,24312.0,1932,24,1.182,0.079,3,4,0,9,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,1,2,2,5,3,2,5272.0,1515,33,0.435,0.287,6,3,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,4,2,6,4,2,7000.0,2517,23,1.875,0.36,6,6,0,9,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,3,2,4,4,2,7038.0,1801,57,0.966,0.256,6,4,5,8,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,1,3,0,6,1,2,2536.0,1823,23,0.353,0.719,2,4,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,1,2,1,6,3,2,28904.0,1899,35,0.4,0.066,3,4,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,3,1,4,4,0,8567.0,1695,41,1.412,0.198,6,3,2,9,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,1,1,3,6,2,2,34516.0,1533,29,0.526,0.044,5,3,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1,0,4,1,2,4,3,2158.0,0,12,0.714,0.0,2,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
0,0,1,1,2,3,3,10133.0,1417,20,0.818,0.14,7,2,0,7,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,1,1,0,5,4,2,34516.0,1219,27,2.0,0.035,5,1,0,9,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,2,1,5,3,0,3085.0,1910,35,0.667,0.619,4,4,0,6,4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,1,2,2,4,2,1,19040.0,2056,31,0.722,0.108,1,5,0,6,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,3,2,5,2,3,4026.0,0,32,0.6,0.0,4,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,1,3,2,4,3,1,12756.0,837,14,1.8,0.066,1,7,0,9,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
0,1,2,1,5,3,3,5266.0,0,29,1.636,0.0,6,0,0,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
0,0,2,2,3,2,2,9930.0,0,21,1.333,0.0,7,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,4,2,4,3,0,31302.0,1953,35,2.182,0.062,3,4,0,9,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,1,2,4,4,3,6576.0,0,34,0.619,0.0,6,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0,2,5,4,1,2664.0,2037,29,0.933,0.765,2,5,0,8,6,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,3,1,5,1,2,2535.0,2440,20,1.222,0.963,2,5,0,9,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
0,1,1,1,6,4,3,1709.0,895,32,0.882,0.524,2,7,0,8,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,3,1,5,4,2,3454.0,1200,30,0.304,0.347,4,1,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,3,1,5,3,2,3789.0,1706,42,0.68,0.45,4,3,3,6,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,3,1,3,2,0,9689.0,2250,19,0.727,0.232,7,5,0,6,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1,2,1,2,3,3,5449.0,1628,18,0.385,0.299,6,3,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0,0,3,2,4,4,0,23032.0,1960,22,1.0,0.085,3,4,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,3,1,5,3,3,34516.0,2053,26,0.733,0.059,5,5,0,6,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,1,3,1,6,2,2,2940.0,1264,33,0.5,0.43,4,1,0,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,2,2,3,3,3,3031.0,1879,15,1.5,0.62,4,4,0,9,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,3,3,3,3,0,1862.0,0,34,0.789,0.0,2,0,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,4,1,2,3,3,8358.0,926,37,0.542,0.111,6,7,0,3,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
0,1,2,2,6,1,2,34516.0,931,21,1.1,0.027,5,7,0,9,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
0,1,1,1,5,2,3,14450.0,2440,30,0.667,0.169,1,5,0,6,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,1,1,6,0,0,1438.3,0,44,1.095,0.0,0,0,3,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0,1,4,0,6,3,2,33791.0,1960,31,0.824,0.058,5,4,0,7,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
0,1,4,1,4,3,0,8466.0,1886,32,0.391,0.223,6,4,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,1,3,1,5,3,3,15088.0,865,21,1.625,0.057,1,7,0,9,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,4,0,5,1,2,3263.0,1674,35,0.346,0.513,4,3,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,1,2,2,2,1494.0,706,24,3.0,0.473,2,7,0,9,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,1,3,2,6,1,0,13551.0,1294,37,1.056,0.095,1,2,0,9,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,1,2,6,2,2,18886.0,895,18,1.571,0.047,1,7,0,9,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,3,3,3,2,0,11976.0,1273,36,1.118,0.106,7,1,0,9,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,3,2,4,1,4,9964.0,1559,25,0.786,0.156,7,3,0,7,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,1,1,4,6,3,24159.0,1196,24,1.0,0.05,3,1,0,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,2,1,3,2,3,5362.0,1901,38,1.0,0.355,6,4,2,8,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,2,2,3,2,2,34516.0,1023,13,0.625,0.03,5,8,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,1,1,4,1,0,3174.0,1951,29,0.611,0.615,4,4,0,4,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,1,1,3,2,2,12262.0,1836,38,1.533,0.15,1,4,2,9,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,3,2,4,3,3,3788.0,1540,47,0.382,0.407,4,3,3,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,2,2,2,3,2,34516.0,1527,42,0.355,0.044,5,3,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,1,3,2,4,2,2,2926.0,0,24,0.846,0.0,4,0,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,1,4,2,6,1,0,32090.0,0,30,0.364,0.0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1,2,1,3,3,2,11669.0,2227,23,0.353,0.191,7,5,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,2,2,3,1,2,13532.0,1300,29,1.417,0.096,1,2,0,9,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,1,3,4,2,2,11888.0,2090,30,0.765,0.176,7,5,0,7,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,1,5,1,2,2393.0,1985,16,0.778,0.83,2,5,0,7,7,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,4,1,5,1,2,6111.0,2517,16,2.2,0.412,6,6,0,9,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
0,1,4,1,3,2,3,19270.0,1662,28,1.545,0.086,1,3,0,9,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,1,1,3,1,4,3710.0,2517,34,0.7,0.678,4,6,0,6,5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,2,2,2,1,3,3235.0,797,32,1.0,0.246,4,7,0,8,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,3,2,3,1,0,11749.0,788,27,0.929,0.067,7,7,0,8,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,2,0,5,3,2,7753.0,2100,26,0.733,0.271,6,5,0,6,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
0,1,4,0,5,1,0,10408.0,1186,42,1.211,0.114,7,1,3,9,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,1,1,6,2,3,3967.0,1568,29,1.231,0.395,4,3,0,9,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,2,2,4,2,2,6205.0,2517,19,0.727,0.406,6,6,0,6,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1,0,5,1,1,3,3,8025.0,0,18,0.8,0.0,6,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,1,2,6,2,3,9036.0,2327,18,0.636,0.258,6,5,0,5,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
0,1,4,1,2,3,2,14926.0,2517,25,1.5,0.169,1,6,0,9,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,1,2,3,2,3,6335.0,1128,20,0.667,0.178,6,8,0,6,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,1,1,2,2,3,3,14979.0,0,10,1.0,0.0,1,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,4,1,3,2,3,2732.0,0,16,0.455,0.0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,0,2,2,6,3,2,2250.0,2117,31,2.875,0.941,2,5,0,9,7,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,2,1,3,2,0,10916.0,1536,34,1.0,0.141,7,3,0,8,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,4,1,4,1,3,5349.0,1228,30,1.308,0.23,6,1,0,9,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,1,2,1,4,1,3,9366.0,1104,39,0.625,0.118,7,8,2,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,3,2,5,1,0,21617.0,0,22,0.467,0.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,1,1,5,2,3,13860.0,1652,32,1.909,0.119,1,3,0,9,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,1,2,2,2,3,18386.0,0,22,0.571,0.0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,4,2,6,2,2,2405.0,1540,29,1.231,0.64,2,3,0,9,5,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,1,1,4,2,3,2154.0,930,26,1.364,0.432,2,7,0,9,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,5,1,3,3,3,2038.0,0,28,0.75,0.0,2,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
0,0,4,2,6,1,3,8135.0,0,29,0.812,0.0,6,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,1,1,6,1,3,9364.0,618,27,0.8,0.066,7,7,0,7,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,2,1,4,3,2,32643.0,0,24,2.429,0.0,3,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0,0,4,0,2,3,1,3195.0,1954,29,0.706,0.612,4,4,0,6,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,1,5,2,1,2852.0,1024,28,1.0,0.359,4,8,0,8,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,1,2,2,3,3,4224.0,1305,31,0.824,0.309,4,2,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,1,1,1,3,2,2,20459.0,2071,38,2.167,0.101,1,5,2,9,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,4,0,6,5,3,3482.0,2114,24,0.263,0.607,4,5,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0,0,4,1,5,2,3,3065.0,1570,28,1.333,0.512,4,3,0,9,4,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,3,1,3,1,2,2185.0,1761,30,0.429,0.806,2,4,0,1,7,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,0,3,1,4,1,0,1611.0,746,29,0.706,0.463,2,7,0,6,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,0,4,1,3,3,3,2822.0,2173,23,2.286,0.77,4,5,0,9,6,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1,1,5,2,6,3,3,32975.0,2517,17,0.7,0.076,5,6,0,6,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,3,1,5,2,2,1438.3,0,53,0.828,0.0,0,0,4,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,4,0,4,3,3,15875.0,1719,37,1.467,0.108,1,3,0,9,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,0,1,1,6,3,3,6703.0,893,28,0.75,0.133,6,7,0,6,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1,1,2,1,2,2,1,3212.0,0,20,0.25,0.0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0,1,2,1,3,1,3,34516.0,1260,34,0.789,0.037,5,1,0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,3,1,4,1,2,9797.0,1434,34,0.478,0.146,7,2,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
